N_itens, Rate_duplicidade, k, Algoritmo, Duração
1000, 20.0%, 100, Versao A, 0.09870529
1000, 50.0%, 100, Versao A, 0.06985664
1000, 80.0%, 100, Versao A, 0.04029274
1000, 20.0%, 100, Versao B, 0.25367737
1000, 50.0%, 100, Versao B, 0.13995171
1000, 80.0%, 100, Versao B, 0.16212463
1000, 20.0%, 500, Versao A, 0.07128716
1000, 50.0%, 500, Versao A, 47.36804962
1000, 80.0%, 500, Versao A, 0.42963028
1000, 20.0%, 500, Versao B, 0.32329559
1000, 50.0%, 500, Versao B, 0.17714500
1000, 80.0%, 500, Versao B, 0.03671646
1000, 20.0%, 800, Versao A, 1.91259384
1000, 50.0%, 800, Versao A, 1.19590759
1000, 80.0%, 800, Versao A, 0.43988228
1000, 20.0%, 800, Versao B, 0.21028519
1000, 50.0%, 800, Versao B, 0.07319450
1000, 80.0%, 800, Versao B, 0.04315376
10000, 20.0%, 1000, Versao A, 0.81610680
10000, 50.0%, 1000, Versao A, 0.81110001
10000, 80.0%, 1000, Versao A, 0.65135956
10000, 20.0%, 1000, Versao B, 2.93755531
10000, 50.0%, 1000, Versao B, 1.39212608
10000, 80.0%, 1000, Versao B, 0.79226494
10000, 20.0%, 5000, Versao A, 0.71144104
10000, 50.0%, 5000, Versao A, 53.60007286
10000, 80.0%, 5000, Versao A, 5.84006310
10000, 20.0%, 5000, Versao B, 3.08346748
10000, 50.0%, 5000, Versao B, 1.64294243
10000, 80.0%, 5000, Versao B, 0.55527687
10000, 20.0%, 8000, Versao A, 26.31020546
10000, 50.0%, 8000, Versao A, 15.57517052
10000, 80.0%, 8000, Versao A, 5.63478470
10000, 20.0%, 8000, Versao B, 1.79624557
10000, 50.0%, 8000, Versao B, 0.66089630
10000, 80.0%, 8000, Versao B, 0.55694580
25000, 20.0%, 2500, Versao A, 2.16364861
25000, 50.0%, 2500, Versao A, 1.93738937
25000, 80.0%, 2500, Versao A, 1.56092644
25000, 20.0%, 2500, Versao B, 7.13181496
25000, 50.0%, 2500, Versao B, 4.82869148
25000, 80.0%, 2500, Versao B, 2.19988823
25000, 20.0%, 12500, Versao A, 1.76835060
25000, 50.0%, 12500, Versao A, 50.74548721
25000, 80.0%, 12500, Versao A, 56.95915222
25000, 20.0%, 12500, Versao B, 6.44850731
25000, 50.0%, 12500, Versao B, 3.81708145
25000, 80.0%, 12500, Versao B, 1.35874748
25000, 20.0%, 20000, Versao A, 88.91487122
25000, 50.0%, 20000, Versao A, 54.82959747
25000, 80.0%, 20000, Versao A, 18.84698868
25000, 20.0%, 20000, Versao B, 5.44905663
25000, 50.0%, 20000, Versao B, 2.35128403
25000, 80.0%, 20000, Versao B, 1.99484825
50000, 20.0%, 5000, Versao A, 4.94742393
50000, 50.0%, 5000, Versao A, 4.38833237
50000, 80.0%, 5000, Versao A, 3.94439697
50000, 20.0%, 5000, Versao B, 12.55440712
50000, 50.0%, 5000, Versao B, 9.54484940
50000, 80.0%, 5000, Versao B, 6.71839714
50000, 20.0%, 25000, Versao A, 5.15294075
50000, 50.0%, 25000, Versao A, 192.09265709
50000, 80.0%, 25000, Versao A, 42.99426079
50000, 20.0%, 25000, Versao B, 13.64350319
50000, 50.0%, 25000, Versao B, 10.54620743
50000, 80.0%, 25000, Versao B, 3.34453583
50000, 20.0%, 40000, Versao A, 270.57433128
50000, 50.0%, 40000, Versao A, 123.56352806
50000, 80.0%, 40000, Versao A, 94.36702728
50000, 20.0%, 40000, Versao B, 13.60583305
50000, 50.0%, 40000, Versao B, 6.88862801
50000, 80.0%, 40000, Versao B, 3.71527672
100000, 20.0%, 10000, Versao A, 15.36345482
100000, 50.0%, 10000, Versao A, 14.81175423
100000, 80.0%, 10000, Versao A, 9.83285904
100000, 20.0%, 10000, Versao B, 40.08102417
100000, 50.0%, 10000, Versao B, 34.32393074
100000, 80.0%, 10000, Versao B, 20.33257484
100000, 20.0%, 50000, Versao A, 16.25347137
100000, 50.0%, 50000, Versao A, 334.35106277
100000, 80.0%, 50000, Versao A, 102.98442841
100000, 20.0%, 50000, Versao B, 40.20977020
100000, 50.0%, 50000, Versao B, 21.13914490
100000, 80.0%, 50000, Versao B, 8.47864151
100000, 20.0%, 80000, Versao A, 575.31881332
100000, 50.0%, 80000, Versao A, 372.97081947
100000, 80.0%, 80000, Versao A, 122.16424942
100000, 20.0%, 80000, Versao B, 31.04305267
100000, 50.0%, 80000, Versao B, 15.90085030
100000, 80.0%, 80000, Versao B, 11.24358177
500000, 20.0%, 50000, Versao A, 124.41897392
500000, 50.0%, 50000, Versao A, 119.50993538
500000, 80.0%, 50000, Versao A, 92.93174744
500000, 20.0%, 50000, Versao B, 314.15152550
500000, 50.0%, 50000, Versao B, 177.26230621
500000, 80.0%, 50000, Versao B, 163.87033463
500000, 20.0%, 250000, Versao A, 96.23742104
500000, 50.0%, 250000, Versao A, 3002.05612183
500000, 80.0%, 250000, Versao A, 919.53563690
500000, 20.0%, 250000, Versao B, 275.00176430
500000, 50.0%, 250000, Versao B, 205.43265343
500000, 80.0%, 250000, Versao B, 90.48938751
500000, 20.0%, 400000, Versao A, 4195.30653954
500000, 50.0%, 400000, Versao A, 2386.55614853
500000, 80.0%, 400000, Versao A, 886.72256470
500000, 20.0%, 400000, Versao B, 207.55529404
500000, 50.0%, 400000, Versao B, 107.13458061
500000, 80.0%, 400000, Versao B, 90.09742737